sha256,bytes_each,copies,wasted_bytes,paths
ff885428917e8d3c650db3bd31623f0bb1b54313b7e76d0b89844caa6ef95dee,133100,29,3726800,outputs/tables/m5_source_band_hs_core_lstsq_mid_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_core_profile_mid_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_endpoint_smoke_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_halo32_lstsq_mid_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_plusbuffer_lstsq_mid_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_plusbuffer_lstsq_mid_prior0_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_plusbuffer_lstsq_mid_prior1em6_compat10_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_plusbuffer_lstsq_mid_prior1em6_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_plusbuffer_lstsq_mid_prior1em6_ode10_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_plusbuffer_midpoint_solve_allpoints_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_plusbuffer_midpoint_solve_compat1_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_plusbuffer_midpoint_solve_compat2_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_plusbuffer_midpoint_solve_compat3_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_plusbuffer_midpoint_solve_compat5_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_plusbuffer_midpoint_solve_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_plusbuffer_midpoint_solve_nfev120_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_plusbuffer_midpoint_solve_trust05_eta100_N164_profiles.json | outputs/tables/m5_source_band_rowreplace_halo32_impl_diag_chi0p0001_blend001_eta100_N164_profiles.json | outputs/tables/m5_source_band_rowreplace_halo32_impl_diag_chi0p0001_blend01_eta100_N164_profiles.json | outputs/tables/m5_source_band_rowreplace_halo32_impl_diag_chi0p0001_blend1_eta100_N164_profiles.json | outputs/tables/m5_source_band_rowreplace_halo32_impl_diag_chi0p0001_eta100_N164_profiles.json | outputs/tables/m5_source_band_rowreplace_halo32_impl_diag_chi0p0001_lstsq_seed_eta100_N164_profiles.json | outputs/tables/m5_source_band_rowreplace_halo32_impl_diag_chi0p0001_ode_seed_eta100_N164_profiles.json | outputs/tables/m5_source_band_rowreplace_halo32_impl_diag_chi0p0003_eta100_N164_profiles.json | outputs/tables/m5_source_band_rowreplace_halo32_impl_diag_chi0p0003_ode_seed_eta100_N164_profiles.json | outputs/tables/m5_source_band_rowreplace_halo32_impl_diag_chi0p001_eta100_N164_profiles.json | outputs/tables/m5_source_band_rowreplace_halo32_impl_diag_chi0p001_ode_seed_eta100_N164_profiles.json | outputs/tables/m5_source_band_rowreplace_halo32_mass_eta100_N164_profiles.json | outputs/tables/m5_source_band_rowreplace_halo8_from_halo32_impl0001_eta100_N164_profiles.json
9b098886366c7ef7d321f98d242741f58875b3f8fe7841f7ad26acdfd921bbff,227359,8,1591513,outputs/tables/m5_eta_lobatto_dae_element_eval_direct_clip5000_k26_98p125_N164_profiles.json | outputs/tables/m5_eta_lobatto_dae_element_eval_direct_clip500_98p125_N164_profiles.json | outputs/tables/m5_eta_lobatto_dae_element_eval_direct_clip500_k26_98p125_N164_profiles.json | outputs/tables/m5_eta_lobatto_dae_element_eval_direct_clip500_k2_98p125_N164_profiles.json | outputs/tables/m5_eta_lobatto_dae_element_eval_direct_clip500_k3_98p125_N164_profiles.json | outputs/tables/m5_eta_lobatto_dae_element_eval_direct_clip500_k8_98p125_N164_profiles.json | outputs/tables/m5_eta_lobatto_dae_element_eval_lobatto_98p125_N164_halo8_profiles.json | outputs/tables/m5_eta_lobatto_dae_element_eval_lobatto_98p125_N164_hsrelease8_profiles.json
02bac78f4acd2486aa2677c987b96f3b1eb28b491e0aee43a9f9431ddb83001f,488688,4,1466064,outputs/tables/m5_local_mdot_eta90_source_element_consistency_audit_N201_profiles.json | outputs/tables/m5_source_interface_energy_audit_eta90_N201_seed_fvmass_profiles.json | outputs/tables/m5_source_interface_massonly_eta90_N201_seed_fvmass_profiles.json | outputs/tables/m5_source_interface_reconcile_eta90_N201_seed_fvmass_profiles.json
6bc0b4aed4c0dc0420eccce2de8ae252d152cadd695b814f98cdbf3ed76402fd,241872,7,1451232,outputs/tables/m5_eta_global_flux_variable_diag_40_120_98p125_N164_profiles.json | outputs/tables/m5_eta_global_fv_homotopy_derivative_audit_98p125_N164_profiles.json | outputs/tables/m5_eta_global_fv_homotopy_guarded_midpoint_stride4_chi001_98p125_N164_profiles.json | outputs/tables/m5_eta_global_fv_mass_predictor_sourceband_eval_98p125_N164_profiles.json | outputs/tables/m5_eta_global_fv_mass_replacement_seed_98p125_N164_profiles.json | outputs/tables/m5_eta_global_fv_mass_sourceband_correct_98p125_N164_profiles.json | outputs/tables/m5_eta_global_fv_mass_sourceband_eval_98p125_N164_profiles.json
ca031cde668b0deea253f16f6e5c06a91bc50a958fbed90d8f964cf63384f1f6,479704,4,1439112,outputs/tables/m5_source_plus_buffer_implicit_pilot12_eta100_N164_profiles.json | outputs/tables/m5_source_plus_buffer_implicit_probe_eta100_N164_profiles.json | outputs/tables/m5_source_plus_buffer_implicit_probe_sparse_eta100_N164_profiles.json | outputs/tables/m5_source_plus_buffer_implicit_relaxed_scout_eta100_N164_profiles.json
a5eccc106b3b251db8dda28803b6ac8d9d45a07f951dc3dfe51972e7c5d1843f,473112,4,1419336,outputs/tables/m5_eta_phase_critical_arc_ds00025_98p125_N164_profiles.json | outputs/tables/m5_eta_phase_critical_arc_ds0005_98p125_N164_profiles.json | outputs/tables/m5_eta_phase_critical_arc_ds001_98p125_N164_profiles.json | outputs/tables/m5_eta_phase_source_shape_audit_98p125_N164_profiles.json
9ffee0e23cb493cb5633594fdb732a351a0b373fa45976d2b8269b75f6608e77,227543,6,1137715,outputs/tables/m5_eta_phase_dae_segment_eval_from_dae_gs1000_98p125_N164_profiles.json | outputs/tables/m5_eta_phase_dae_segment_eval_from_dae_gs1000_seedfix_98p125_N164_profiles.json | outputs/tables/m5_eta_phase_dae_segment_eval_intervalp_from_dae_gs1000_98p125_N164_profiles.json | outputs/tables/m5_eta_phase_dae_segment_state_intervalp_k4_from_dae_gs1000_98p125_N164_profiles.json | outputs/tables/m5_eta_phase_dae_segment_state_intervalp_k8_from_dae_gs1000_98p125_N164_profiles.json | outputs/tables/m5_eta_phase_dae_segment_tangent_intervalp_k4_from_dae_gs1000_98p125_N164_profiles.json
10783388bd4637846e6c295cd43fac25e24bae1f5d11f897b1a850f2315bf315,211314,6,1056570,outputs/tables/m5_source_interface_reconcile_eta100_N164_seed_profiles.json | outputs/tables/m5_source_plus_buffer_eta100_N164_bandonly_prodM_preserve_profiles.json | outputs/tables/m5_source_plus_buffer_eta100_N164_bandonly_state0_profiles.json | outputs/tables/m5_source_plus_buffer_eta100_N164_prodM_debug_profiles.json | outputs/tables/m5_source_plus_buffer_eta100_N164_smoke_profiles.json | outputs/tables/m5_source_plus_buffer_production_eta100_N164_bandonly_smoke1_profiles.json
f0046b24100eed6d60992f4365abe0fe3ff5b6a80c76cb72f052d0c8b944ac90,132944,8,930608,outputs/tables/m5_source_band_fv_mass_correct_eta100_N164_profiles.json | outputs/tables/m5_source_band_global_replace_eval_eta100_N164_profiles.json | outputs/tables/m5_source_band_global_replace_skipaccepted_eta100_N164_profiles.json | outputs/tables/m5_source_band_mass_increment_eval_endpoint_eta100_N164_profiles.json | outputs/tables/m5_source_band_mass_increment_eval_integral_eta100_N164_profiles.json | outputs/tables/m5_source_band_production_replace_midpoint_persist_eta100_N164_profiles.json | outputs/tables/m5_source_band_production_replace_midpoint_seedonly20_halo32_eta100_N164_profiles.json | outputs/tables/m5_source_band_production_replace_reload_eval_eta100_N164_profiles.json
141fc91bce44f184a8421f8ccaf58f19deca8df57b097281e6683b8421fa0634,227375,5,909500,outputs/tables/m5_eta_conservative_source_element_corehalo8_eval_98p125_N164_profiles.json | outputs/tables/m5_eta_conservative_source_element_corehalo8_eval_masshermite_98p125_N164_profiles.json | outputs/tables/m5_eta_source_element_fprime_corehalo8_audit_seed_98p125_N164_profiles.json | outputs/tables/m5_eta_source_element_fprime_corehalo8_eval_98p125_N164_profiles.json | outputs/tables/m5_eta_source_element_lobatto_scaling_audit_seed_98p125_N164_profiles.json
