path,file_type,bytes,sha256,git_status,scientific_category,proposed_action,reason,replacement_or_archive
.gitignore,none,267,e5d7049278aa80a85f7429b44a756716498e3a2fdb0f17648ae4b902fd1dc231,tracked,project_file,KEEP,Project configuration or handoff pointer.,.gitignore
GPT_REPO_HANDOFF.md,md,3560,1f795c27d085aee322ff4b5c8b3dc06ccaf10d8640804361556057834ad5895f,tracked,project_file,KEEP,Project configuration or handoff pointer.,GPT_REPO_HANDOFF.md
Literature/1974ApJ...187L...1L.pdf,pdf,235202,72b08a3df7ca2dc61dd9b552a73e5c7eef6f23a8478667ccf79948fd442c6cf0,tracked,reference_full_text,DELETE,Do not distribute full-paper PDFs in the source tree; replace with bibliography.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Literature/1974ApJ...187L...1L.pdf
Literature/1988ApJ...332..646A,pdf,1010673,0519e48a0db0b2e4b0eda7db06e323386eb3371d68e7efb6bdbae895e0a731dc,tracked,reference_full_text,DELETE,Do not distribute full-paper PDFs in the source tree; replace with bibliography.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Literature/1988ApJ...332..646A
Literature/2211.00704v1.pdf,pdf,3972599,45bb4e904e5fc88df2bec4e64963103553f88f01e4c166923137ac33aa53e61f,tracked,reference_full_text,DELETE,Do not distribute full-paper PDFs in the source tree; replace with bibliography.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Literature/2211.00704v1.pdf
Literature/2602.16776v2.pdf,pdf,955609,b08cb46723fa1ca1410f80ba25f4f6634131c0097c8e26a0eb0060cb8f4d358d,tracked,reference_full_text,DELETE,Do not distribute full-paper PDFs in the source tree; replace with bibliography.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Literature/2602.16776v2.pdf
Literature/2603.02517v2.pdf,pdf,845319,0328a9c00c13f5de83ab23f71fa0253ea37bda336a0804b27f062c602192c285,tracked,reference_full_text,DELETE,Do not distribute full-paper PDFs in the source tree; replace with bibliography.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Literature/2603.02517v2.pdf
Literature/Hirose_2009_ApJ_691_16.pdf,pdf,9128891,122b77aafc56e684760fa837050cce9d6f415b08d108926674b3c91932013d4c,tracked,reference_full_text,DELETE,Do not distribute full-paper PDFs in the source tree; replace with bibliography.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Literature/Hirose_2009_ApJ_691_16.pdf
Literature/Jiang_2013_ApJ_778_65.pdf,pdf,1247222,8748d2c3abd855828ebe80614a73590ac99dfffc295a8aec5c0cc73252ea5e1a,tracked,reference_full_text,DELETE,Do not distribute full-paper PDFs in the source tree; replace with bibliography.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Literature/Jiang_2013_ApJ_778_65.pdf
Literature/Pan_2022_ApJL_928_L18.pdf,pdf,693501,8ebd6255bfb19742381479cf84f4f09b9e2a345df62522445bf9c34a67521e3f,tracked,reference_full_text,DELETE,Do not distribute full-paper PDFs in the source tree; replace with bibliography.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Literature/Pan_2022_ApJL_928_L18.pdf
Literature/Shen_2014_ApJ_784_87.pdf,pdf,1398304,541ba714598d2e70acf465947c4f6e5aa5a8eb3ca8dcbc59e89548782b0ba86c,tracked,reference_full_text,DELETE,Do not distribute full-paper PDFs in the source tree; replace with bibliography.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Literature/Shen_2014_ApJ_784_87.pdf
Literature/Tanigawa_2012_ApJ_747_47.pdf,pdf,1702663,fa423fcf37f594f1ea3fc7e2dd165a1c6567c8b705518062180c3a629aa2e75b,tracked,reference_full_text,DELETE,Do not distribute full-paper PDFs in the source tree; replace with bibliography.,IMBH_legacy_steady_dae_artifacts_pre-cleanup-p0-2026-07-11.tar.gz:Literature/Tanigawa_2012_ApJ_747_47.pdf
