metric,value
Lrad_LEdd,0.86747545884092
Mdot_center_over_inner,0.6
Mdot_inner_over_param,1.0
Mdot_outer_over_inner,0.2030109395410601
N,896
R_out_rg,300.0
Rinj_mass_rg,240.0
Rinj_torque_rg,240.0
Rson_rg,4.659920329434024
accepted,true
anchor_eligible,true
custom_grid,true
dMdot_dlnR_center_over_inner,-5.0
dMdot_dlnR_outer_over_inner,-0.07499018362275561
dominant,"""outer_omega"""
elapsed_s,38.31405179086141
f_adv_global,0.2039122945411235
f_adv_inner,0.09492043765275904
f_adv_inner_pos,0.2676311047331158
f_adv_pos,0.2731197552855379
final_full,2.2469024937887046e-08
full,2.2469024937887046e-08
grid_power,0.6
initial_full,0.056107166577834974
integrated_adv,0.2039134070522871
interval_E,2.4796228653415597e-11
interval_R,2.424601699009114e-13
iterations,3
label,"""N896_s12"""
lambda0_over_lK_isco,1.026251450648684
logu_outer,9.041417835614906
mass_budget_error_over_inner,2.330666925617095e-05
max_H_R,0.22689940978283368
median_abs_interval_E,6.54124126035308e-13
message,"""square Newton polish converged"""
method,"""newton"""
monitor_blend,0.75
monitor_floor,1.0
monitor_max,13.0
monitor_p90,3.7447923987761795
monitor_power,0.5
monitor_reference,"""current"""
monitor_strength,12.0
new_budget_error_over_inner,2.330666594867926e-05
new_source_integral_over_inner,0.7970123671248887
nfev,5
old_budget_error_over_inner,1.5735521497959502e-05
old_source_integral_over_inner,0.7970047959804379
outer_H_R,0.01943093488800197
outer_Qadv_Qvisc,-0.0006228610022616011
outer_dx,0.001101052357306287
outer_dx_ratio_to_uniform,0.23661295054011514
outer_energy,1.1459153551407408e-15
outer_omega,2.2469024937887046e-08
outer_pressure_residual,2.2469024937887046e-08
outer_pressure_target,-0.00032884176017454215
p90_abs_interval_E,2.4628050262135528e-12
path,"""outputs/checkpoints/high_mdot_stream_source_bridge_m2_residual_outer_grid_secant_0p75_0p80_fine/load_mass_0p8_torque_0p005_mdot_2_N640.npz"""
peak_interval_E_rg,256.3277383276598
peak_interval_E_value,-2.4796228653415597e-11
peak_interval_R_rg,25.422987088917232
peak_interval_R_value,-2.424601699009114e-13
peak_monitor_R_rg,243.6232920838979
peak_monitor_xi,0.9500191831467336
pivot,"""C2"""
ratio,2.0
relative_mass_budget_error,2.330666925617095e-05
source_fraction,0.8
source_full_on_target_params,"""nan"""
source_integral_delta_over_inner,7.571144450713163e-06
source_outer_dx,0.0010747714162597788
stream_l_outer_over_lKinj,0.004981181627868374
stream_source_integral_over_inner,0.7970123671281961
target_inner_dxi,0.0014182048531959665
target_outer_1pct_nodes,34
target_outer_5pct_nodes,165
target_outer_dx,0.0011010524354873041
target_outer_dxi,0.00026437201177675895
torque_fraction,0.005
wind_sink_integral_over_inner,0.0
